date,x1,x2,x3,x4,x5,mega,mult
150707,6,15,16,28,49,14,3
150703,33,50,64,71,72,9,4
150630,11,17,34,43,50,15,4
150626,12,23,33,47,50,3,5
150623,6,13,38,56,70,2,5
150619,4,35,36,52,68,8,3
150616,8,19,26,56,67,14,2
150612,1,40,42,56,62,2,5
150609,6,16,17,25,36,7,5
150605,7,22,27,41,49,10,4
150602,2,9,11,22,23,12,4
150529,20,27,38,49,66,2,4
150526,1,39,52,69,72,12,4
150522,3,14,15,25,48,8,5
150519,10,12,21,29,65,10,5
150515,11,17,21,36,74,15,5
150512,14,30,33,36,44,2,5
150508,9,21,25,66,72,7,3
150505,11,21,42,62,71,7,5
150501,17,18,61,66,74,3,3
150428,22,27,55,58,63,11,5
150424,24,25,29,47,67,4,4
150421,31,33,35,41,69,11,5
150417,15,18,29,41,50,5,2
150414,3,7,25,68,71,3,5
150410,6,11,32,46,68,9,2
150407,5,15,22,26,64,6,4
150403,10,36,47,63,74,2,5
150331,8,26,41,61,73,11,5
150327,17,21,36,58,70,3,5
150324,2,23,32,45,55,12,2
150320,7,50,54,61,75,7,4
150317,11,27,44,45,58,3,5
150313,8,22,30,42,45,3,5
150310,10,14,19,30,73,14,5
150306,30,48,55,68,73,5,3
150303,9,11,42,44,50,3,4
150227,7,49,53,60,64,4,2
150224,15,23,26,45,66,4,3
150220,2,6,8,52,66,13,3
150217,6,45,50,65,66,1,5
150213,4,20,44,65,74,14,3
150210,7,42,53,58,71,15,2
150206,5,6,17,33,68,13,3
150203,11,22,25,58,69,13,5
150130,18,31,39,45,55,6,5
150127,5,26,27,44,57,7,3
150123,14,15,32,68,72,8,2
150120,31,35,56,59,63,6,5
150116,26,32,44,45,58,11,3
150113,12,20,25,50,51,7,5
150109,37,49,50,56,57,8,5
150106,12,20,27,38,75,4,3
150102,13,15,35,62,74,12,4
141230,3,7,44,63,67,12,4
141226,2,5,10,20,38,14,3
141223,4,10,31,56,66,7,3
141219,14,18,58,59,68,4,3
141216,41,58,68,72,73,1,5
141212,2,31,46,58,65,7,5
141209,27,45,49,51,52,14,5
141205,4,5,11,51,59,5,5
141202,13,18,22,49,62,11,5
141128,8,26,29,36,47,10,3
141125,10,11,29,47,56,4,2
141121,3,12,35,37,63,15,2
141118,37,39,53,68,75,6,2
141114,3,49,61,62,68,15,5
141111,23,25,28,30,75,11,5
141107,31,35,41,65,66,5,5
141104,9,15,24,39,41,1,4
141031,11,29,36,58,67,15,2
141028,3,50,57,58,60,11,5
141024,2,14,21,28,55,3,3
141021,5,35,37,41,66,11,5
141017,21,31,43,56,60,12,4
141014,11,37,46,64,68,15,3
141010,2,32,35,50,59,3,5
141007,16,29,46,48,55,2,3
141003,3,20,34,58,67,6,3
140930,3,16,52,54,61,6,5
140926,17,26,35,46,62,9,5
140923,21,24,25,40,43,12,5
140919,16,25,27,29,34,2,2
140916,25,45,51,53,73,2,2
140912,18,28,33,36,42,7,3
140909,25,34,55,70,71,1,4
140905,7,12,20,24,59,7,2
140902,1,8,54,69,72,1,3
140829,3,26,45,58,73,12,2
140826,29,31,51,60,64,1,5
140822,5,31,34,41,74,3,5
140819,22,39,56,67,71,15,4
140815,16,19,28,29,68,9,2
140812,32,53,60,63,68,6,4
140808,9,16,61,70,75,7,5
140805,25,28,36,45,53,6,5
140801,13,29,34,37,72,6,5
140729,2,8,16,43,74,1,4
140725,22,29,33,41,68,12,5
140722,14,18,22,31,47,15,3
140718,5,8,59,65,72,3,3
140715,2,4,17,36,40,5,2
140711,9,13,30,35,69,10,5
140708,14,25,27,48,49,9,5
140704,16,33,39,58,69,2,5
140701,9,22,38,47,49,15,3
140627,15,29,31,46,64,10,3
140624,13,17,24,47,65,10,4
140620,1,22,25,29,56,3,5
140617,10,14,24,47,60,3,4
140613,7,38,46,49,56,1,5
140610,2,10,24,26,74,7,5
140606,12,29,37,49,72,9,4
140603,19,28,62,66,74,6,3
140530,10,13,42,43,62,2,4
140527,1,6,10,46,58,13,2
140523,12,14,21,38,70,15,4
140520,10,40,63,64,69,7,2
140516,13,14,16,50,56,11,5
140513,37,46,48,70,74,1,2
140509,10,28,39,51,59,14,2
140506,18,20,27,48,51,5,3
